content,label
なんでアイツがどこぞの温泉旅館に泊まってる間に、俺らがアイツの分まで仕事しなきゃいけねえんだよ。,0
はいはい、わかったよ。,0
これが原因で雨が同所で長間たくさん降って、災害になったことが何度どもありました。,1
お前、毎日そんなカップ飯とカロリーメイトじゃ元気でねえだろ。,0
ご教示いただければ幸いです。,2
かしこまりました。,2
歩くときは、滑りにくい靴を履いてください。,1
危険なときに助けてもらうことができるように、2人以上でしましょう。,1
毎日炎暑が続いておりますが、いかがお過ごしでしょうか。,2
自転車には乗らないでください。,1
せっかくのお誘いですが、只今仕事に追われておりまして、時間をとることが難しい状況です。,2
そしてそこには、見たこともない世界が広がっていた。,0
いや、それこそありえない。,0
なんで私の名前知ってるんですか。,1
名前を呼んでも答えることができないときなどは、すぐに病院に連れて行きましょう。,1
ご多忙のところ、まことに恐縮でございます。,2
ガイチ、というのはたぶん他県という意味だろう。,0
日本近代文学史を受講している、文学部2年2組の李正男です。,1
本や勉強法について、何かアドバイスをいただけないでしょうか。,2
ホテルなどに泊まるときや、試合の会場に行くときなどに気をつけることなども決めました。,1
お手数をおかけして申し訳ありませんが、よろしくお願いいたします。,2
その場にいる誰も彼もがこのハレの日を、祭りという一瞬の非日常を祝福しているようだった。,0
これどこまで続いているんだよ。,0
あなたが暇な時に相談してもいいですか。,1
今学期の期末レポートの件ですが、いま考えているトピックや内容について、少しご相談できればと思います。,1
先ほどのスピーカーから若い女性の声が聞こえた。,0
お忙しいところご返信ありがとうございます。,2
先生のご都合のよい時間をお聞きして、研究室の方にうかがいたいと思いますが、よろしいでしょうか。,2
そういや、お祭りなんてずっと行ってなかった。,0
このため、日本は今月、アストラゼネカの124万回のワクチンを送りました。,1
去年の同じときも半分の学校が、運動会を予定より遅くしたり、やめたりしていました。,1
お名前を伺ってもよろしいですか。,2
ふつふつと、頭の中で様々な疑問が泡のように浮かび上がっては弾けた。,0
今度いらっしゃるのはいつですか。,2
お客様がご到着になる予定です。,2
私が挑発するようにそう尋ねると、彼女は怒ったように言い返した。,0
東京の渋谷にある本屋では、朝からたくさんの人たちが漫画を買っていました。,1
これ、漢検一級保持者でもない限り解読不能だろ。,0
これは、先生がお読みになる本です。,2
校長先生のおっしゃるとおりです。,2
こんなに漫画が長く続くと思っていませんでした。,1
国が払うお金は1人550万円から1300万円で、病気がどのくらいひどいかで決まります。,1
子供たちは一斉に私に好奇の目を向けてきた。,0
このお金をもらうことについて電話で国に相談できます。,1
先生は、北海道に旅行なさるそうです。,2
私が困り顔で聞き返すと、彼は大声で怒鳴った。,0
お客様がご到着になる予定です。,2
先生が熱心に本をお読みになります 。,2
私は以前、日本のどこかの地方では鶏肉の刺身を食べる風習があるという話を聞いたことがあった。,0
海の中で生き物を食べるマンボウを撮ったのは珍しいことです。,1
カメラが撮ったほとんどの場所は、深い海のようです。,1
多いのは、歯を磨いているときに子どもが転ぶ事故です。,1
歴史に興味をお持ちだそうです。,2
私は一足先にお風呂を借り、一人だけ客間に布団を敷いて横になった。,0
先生が私をご指導くださいました。,2
そういや、五年前の旅行の初日も朝寝坊して、危うく飛行機に乗り遅れたっけ。,0
笹生選手はお父さんが日本人で、お母さんがフィリピン人です。,1
新しい法律では、子どもが生まれてから8週間以内に、男性が4週間休むことができます。,1
お母さまがきっとお喜びなさるでしょう。,2
もしかして納豆って何か知りませんか。,1
先生が合格祝いをくださるそうです。,2
どんな本をお読みになりますか。,2
この時私はなぜか、少しうれしいような、それでいて寂しいような複雑な気持ちになった。,0
十月ともなって気温はそこまで高くなかった。,0
今は1か月前までに会社に休むことを言わなければなりませんが、新しい法律では2週間前でもよくなります。,1
6月3日、東京オリンピックまで50日になりました。,1
先生が合格祝賀会にいらっしゃいます。,2
しばらく見ない間にとても大きくなっていました。,1
皆さんにいいニュースを伝えることを楽しみにしています。,1
今度は体が硬くて上手く腰が曲がらない。,0
3列に並んでお待ちください。,2
とにかく通訳がいる体操なんて、私はもう二度とやりたくない。,0
私は先生の言葉を拝聴します。,2
明日、御社に伺います,2
団体は、亡くなった人のために祈る会を6月4日に行う予定でした。,1
そして、子どもが先生などに言わなくても使うことができるように、トイレの中に置きました。,1
脳内で思わず突っ込みを入れてしまった。,0
美味しくいただきました。,2
もう黄色くなった実は店頭に並ぶ頃にはダメになってしまう。,0
学校で子どもが安心して生活できるように、必要なことだとわかりました。,1
私からご報告します。,2
このような会社の間では、働く人を早く決めたいと考えて競争が激しくなっていることがわかります。,1
わかってもらえて、よかったです。,1
先輩にお手紙をお送りしました。,2
ご連絡はいつしましょうか。,2
私は彼の独特な英語の発音に突っ込んだ。,0
そのどれもが彼をこの町に縛り付けている。,0
読んでいる間、すぐ泣けるし、声出ちゃうし、鳥肌立ちまくりだし、酸素が足りなくなる。,0
進むにつれて次々と謎が謎を呼び、やがて壮大な物語に繋がっていく流れが圧巻です。,1
私はそのことについて先生に伺います。,2
私たちの世界に巨人はいない。,0
先生がそのことについて私にお聞きになりました。,2
来月で終わってしまいますが、何回も見直して奥深か理解したいと思っています。,1
海岸で酒を飲んではいけません。,1
明日から東京へ参ります。,2
私はこの件について伺っております。,2
